Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error
0.1,200.,0.02,0.98,0.0002727776,0.0018233930,0.0004454440,0.0010895056
0.1,200.,0.116,0.884,0.0060011073,0.0020223086,0.0022567207,0.0008994075
0.1,200.,0.212,0.788,0.0087288834,0.0016907826,0.0035168452,0.0010142745
0.1,200.,0.308,0.692,0.0118203629,0.0013924092,0.0037709579,0.0008011688
0.1,200.,0.404,0.596,0.0156392494,0.0014255618,0.0028522330,0.0004961827
0.1,200.,0.5,0.5,0.0204583204,0.0011271884,0.0058926698,0.0003866224
0.1,200.,0.596,0.404,0.0245499845,0.0009282728,0.0067309713,0.0003380915
0.1,200.,0.692,0.308,0.0270049829,0.0005304416,0.0101999211,0.0006761830
0.1,200.,0.788,0.212,0.0326423868,0.0004972890,0.0072147256,0.0008120695
0.1,200.,0.884,0.116,0.0364612733,0.0003315260,0.0069342526,0.0004193509
0.1,200.,0.98,0.02,0.0401892339,0.0000000000,0.0084242707,0.0000000000
0.1,220.,0.02,0.98,0.0000909259,0.0006298994,0.0003637035,0.0005304416
0.1,220.,0.116,0.884,0.0016366656,0.0005967468,0.0012333785,0.0004961827
0.1,220.,0.212,0.788,0.0027277761,0.0005967468,0.0020734288,0.0004961827
0.1,220.,0.308,0.692,0.0034551830,0.0005635942,0.0021207375,0.0005386660
0.1,220.,0.404,0.596,0.0050009228,0.0006298994,0.0025066532,0.0005304416
0.1,220.,0.5,0.5,0.0053646262,0.0005304416,0.0022567207,0.0003866224
0.1,220.,0.596,0.404,0.0066375884,0.0004641364,0.0026100634,0.0003248278
0.1,220.,0.692,0.308,0.0070922177,0.0004309838,0.0027338311,0.0001624139
0.1,220.,0.788,0.212,0.0071831436,0.0000663052,0.0055278142,0.0001624139
0.1,220.,0.884,0.116,0.0080014764,0.0001326104,0.0033826378,0.0002480913
0.1,220.,0.98,0.02,0.0090925868,0.0000000000,0.0062202864,0.0000000000
0.1,240.,0.02,0.98,0.0000909259,0.0003646786,0.0003637035,0.0003866224
0.1,240.,0.116,0.884,0.0007274069,0.0002320682,0.0014773705,0.0003380915
0.1,240.,0.212,0.788,0.0009092587,0.0002652208,0.0009960430,0.0002652208
0.1,240.,0.308,0.692,0.0010911104,0.0002320682,0.0009272656,0.0002652208
0.1,240.,0.404,0.596,0.0017275915,0.0001989156,0.0015643478,0.0003248278
0.1,240.,0.5,0.5,0.0016366656,0.0000331526,0.0028522330,0.0001326104
0.1,240.,0.596,0.404,0.0020912950,0.0001326104,0.0017817759,0.0003866224
0.1,240.,0.692,0.308,0.0020912950,0.0001326104,0.0019586031,0.0002480913
0.1,240.,0.788,0.212,0.0027277761,0.0000331526,0.0023002627,0.0001326104
0.1,240.,0.884,0.116,0.0031824054,0.0000000000,0.0023002627,0.0000000000
0.1,240.,0.98,0.02,0.0027277761,0.0000000000,0.0029881290,0.0000000000
0.1,260.,0.02,0.98,0.0000000000,0.0000663052,0.0000000000,0.0001624139
0.1,260.,0.116,0.884,0.0000909259,0.0000663052,0.0003637035,0.0001624139
0.1,260.,0.212,0.788,0.0001818517,0.0000331526,0.0007274069,0.0001326104
0.1,260.,0.308,0.692,0.0002727776,0.0000331526,0.0010911104,0.0001326104
0.1,260.,0.404,0.596,0.0009092587,0.0000994578,0.0015214808,0.0002652208
0.1,260.,0.5,0.5,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,260.,0.596,0.404,0.0005455552,0.0000000000,0.0013363319,0.0000000000
0.1,260.,0.692,0.308,0.0010001846,0.0000331526,0.0014548139,0.0001326104
0.1,260.,0.788,0.212,0.0010001846,0.0000000000,0.0014548139,0.0000000000
0.1,260.,0.884,0.116,0.0012729622,0.0000000000,0.0013363319,0.0000000000
0.1,260.,0.98,0.02,0.0013638880,0.0000000000,0.0012858860,0.0000000000
0.1,280.,0.02,0.98,0.0000000000,0.0000663052,0.0000000000,0.0001624139
0.1,280.,0.116,0.884,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,280.,0.212,0.788,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,280.,0.308,0.692,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,280.,0.404,0.596,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,280.,0.5,0.5,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,280.,0.596,0.404,0.0001818517,0.0000000000,0.0007274069,0.0000000000
0.1,280.,0.692,0.308,0.0001818517,0.0000000000,0.0007274069,0.0000000000
0.1,280.,0.788,0.212,0.0002727776,0.0000000000,0.0007274069,0.0000000000
0.1,280.,0.884,0.116,0.0002727776,0.0000000000,0.0007274069,0.0000000000
0.1,280.,0.98,0.02,0.0003637035,0.0000000000,0.0006804269,0.0000000000
0.1,300.,0.02,0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,300.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,300.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,300.,0.308,0.692,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300.,0.404,0.596,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300.,0.5,0.5,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300.,0.596,0.404,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300.,0.692,0.308,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300.,0.788,0.212,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300.,0.884,0.116,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300.,0.98,0.02,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,320.,0.02,0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,320.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,320.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,320.,0.308,0.692,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,320.,0.404,0.596,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,320.,0.5,0.5,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,320.,0.596,0.404,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,320.,0.692,0.308,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,320.,0.788,0.212,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,320.,0.884,0.116,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,320.,0.98,0.02,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,340.,0.02,0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.308,0.692,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.404,0.596,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.5,0.5,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.596,0.404,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.692,0.308,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.788,0.212,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.884,0.116,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,340.,0.98,0.02,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,360.,0.02,0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.308,0.692,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.404,0.596,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.5,0.5,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.596,0.404,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.692,0.308,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.788,0.212,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.884,0.116,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.98,0.02,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.02,0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.308,0.692,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.404,0.596,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.5,0.5,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.596,0.404,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.692,0.308,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.788,0.212,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.884,0.116,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.98,0.02,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.02,0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.308,0.692,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.404,0.596,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.5,0.5,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.596,0.404,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.692,0.308,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.788,0.212,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.884,0.116,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.98,0.02,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1500000.095,200.,0.02,0.98,441.7574217745,137.1544934251,11.0153806778,3.4209711506
1500000.095,200.,0.116,0.884,797.2378328833,33.2475488412,22.6301556043,3.1156766540
1500000.095,200.,0.212,0.788,861.1309860270,18.1446167836,21.9167913331,4.3912464768
1500000.095,200.,0.308,0.692,813.0886667558,27.8598535432,20.2590249026,4.0069909655
1500000.095,200.,0.404,0.596,830.0958048977,24.1478232494,15.0404608203,3.6921414418
1500000.095,200.,0.5,0.5,834.2649378187,20.9551615839,20.7861373061,1.4857561742
1500000.095,200.,0.596,0.404,850.8348134592,15.6003536649,22.0260565972,2.6948866228
1500000.095,200.,0.692,0.308,867.0580796890,12.1877244998,9.1061028861,1.5204383136
1500000.095,200.,0.788,0.212,884.7436157355,7.9654093898,8.7828362100,1.3212052002
1500000.095,200.,0.884,0.116,899.1159949868,4.4857788205,19.0400128410,0.5485841781
1500000.095,200.,0.98,0.02,896.2429193949,0.8909429669,17.3787773947,0.2347798115
1500000.095,220.,0.02,0.98,299.8916993840,159.7889999516,11.0214409340,4.1070413655
1500000.095,220.,0.116,0.884,671.7003051748,55.9349337644,26.1933804899,5.1099479037
1500000.095,220.,0.212,0.788,771.1002827332,29.6937890587,10.8942052049,1.5725656201
1500000.095,220.,0.308,0.692,812.5484761713,19.1748006697,14.2651684234,3.8732411483
1500000.095,220.,0.404,0.596,817.3566360959,17.3176251817,12.1260073489,1.2868459841
1500000.095,220.,0.5,0.5,823.3302838026,15.5495970346,5.0550617966,0.7036187815
1500000.095,220.,0.596,0.404,837.0699099351,11.8891521860,12.7152782233,1.4504499880
1500000.095,220.,0.692,0.308,845.1698590760,8.6834615488,15.0433422473,1.2897030048
1500000.095,220.,0.788,0.212,852.8686432851,6.1452653559,8.9322474468,0.7226843241
1500000.095,220.,0.884,0.116,863.4335017942,3.0726161016,5.0040853049,0.6783584938
1500000.095,220.,0.98,0.02,881.3118006819,0.5359449283,9.3394066863,0.1187828365
1500000.095,240.,0.02,0.98,173.1451304025,164.2118219851,3.7125766755,1.1026978391
1500000.095,240.,0.116,0.884,524.5652468547,78.7578796681,6.3011849532,1.4028519779
1500000.095,240.,0.212,0.788,657.5479665252,45.1776444880,9.6876818917,1.4041928757
1500000.095,240.,0.308,0.692,719.0615896911,29.2411897663,4.3123205494,0.8410576237
1500000.095,240.,0.404,0.596,759.9753208743,20.1162350460,8.6604788974,0.8922930093
1500000.095,240.,0.5,0.5,782.9951139204,14.2524021098,6.2036036359,0.4100277624
1500000.095,240.,0.596,0.404,800.7992172994,10.4168783817,7.1040915415,0.5934372778
1500000.095,240.,0.692,0.308,819.0240346719,6.9927121118,10.2078109923,0.3121959041
1500000.095,240.,0.788,0.212,822.7801822983,4.6586364758,5.6603638740,0.3323808561
1500000.095,240.,0.884,0.116,836.3992407293,2.1785899430,12.3527278209,0.2158472464
1500000.095,240.,0.98,0.02,844.7165026958,0.4003507951,10.6083548681,0.0927067625
1500000.095,260.,0.02,0.98,92.3695894084,147.1721150474,2.3831695867,1.4718714685
1500000.095,260.,0.116,0.884,385.1087872010,91.3055419439,6.3687337625,1.9062472787
1500000.095,260.,0.212,0.788,528.0901699977,59.1659529878,6.1520102339,1.1466189625
1500000.095,260.,0.308,0.692,611.3591710828,40.3345469469,4.8119204259,1.0877739445
1500000.095,260.,0.404,0.596,659.9399533470,28.9395342608,4.4309071521,0.3471433025
1500000.095,260.,0.5,0.5,705.0530957654,19.7832834863,7.4363813798,1.0457935010
1500000.095,260.,0.596,0.404,731.7828460968,13.7438412290,5.8810676958,0.3570227223
1500000.095,260.,0.692,0.308,750.4310143129,9.5795431687,8.3168922305,0.5573071579
1500000.095,260.,0.788,0.212,771.4232514180,5.7452792393,3.5966566007,0.5379889081
1500000.095,260.,0.884,0.116,779.9763750873,2.9674229025,3.5814192713,0.2745184686
1500000.095,260.,0.98,0.02,794.9080393555,0.4433165645,4.6963999903,0.0552221612
1500000.095,280.,0.02,0.98,50.7550016311,122.2589971844,1.4412948029,1.1512233095
1500000.095,280.,0.116,0.884,253.0790615580,91.1682901807,6.2186871038,0.9776760790
1500000.095,280.,0.212,0.788,393.3991351104,66.6870843878,2.1340123197,0.9605871916
1500000.095,280.,0.308,0.692,491.2828328863,47.8542196324,2.4110141948,0.7184359333
1500000.095,280.,0.404,0.596,556.7075413585,34.9003385514,4.2826092002,0.7734621779
1500000.095,280.,0.5,0.5,603.3803351988,25.3522903525,5.9525118908,0.4037405762
1500000.095,280.,0.596,0.404,639.4106198382,17.9868435612,5.2852285963,0.1200489651
1500000.095,280.,0.692,0.308,668.6845668953,12.3006091021,6.9356998376,0.3628528648
1500000.095,280.,0.788,0.212,693.6942725728,7.3472128615,7.2020401828,0.3952853639
1500000.095,280.,0.884,0.116,713.9535562523,3.7377567113,3.5936051601,0.0581732817
1500000.095,280.,0.98,0.02,730.7892991321,0.5805020224,3.8972378578,0.0248984633
