Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
0.1,200.,0.02,0.98,0.0320162310,0.0077408349,0.0044318098,0.0009710052
0.1,200.,0.116,0.884,0.1809188377,0.0070481427,0.0093842022,0.0007395928
0.1,200.,0.212,0.788,0.3286004864,0.0062342294,0.0151421153,0.0013279109
0.1,200.,0.308,0.692,0.4915305435,0.0053856815,0.0253912872,0.0010239199
0.1,200.,0.404,0.596,0.6352779943,0.0052471431,0.0161881998,0.0010820197
0.1,200.,0.5,0.5,0.7691221195,0.0041734702,0.0434323866,0.0012117164
0.1,200.,0.596,0.404,0.9166409738,0.0030132109,0.0457788465,0.0014000266
0.1,200.,0.692,0.308,1.0917534781,0.0026841821,0.0470474863,0.0006098052
0.1,200.,0.788,0.212,1.2126011840,0.0018183169,0.0646725308,0.0003794031
0.1,200.,0.884,0.116,1.3939541401,0.0009697690,0.0846651550,0.0006516463
0.1,200.,0.98,0.02,1.5049256527,0.0002770769,0.0417812166,0.0003357950
0.1,220.,0.02,0.98,0.0053179502,0.0021300284,0.0007750563,0.0011518285
0.1,220.,0.116,0.884,0.0304968167,0.0020434419,0.0058025286,0.0010539397
0.1,220.,0.212,0.788,0.0561911987,0.0017836823,0.0068240007,0.0010875487
0.1,220.,0.308,0.692,0.0819941103,0.0015585574,0.0057341230,0.0004646720
0.1,220.,0.404,0.596,0.1042155452,0.0012641632,0.0109372852,0.0008092945
0.1,220.,0.5,0.5,0.1308052964,0.0011429421,0.0069118955,0.0002545114
0.1,220.,0.596,0.404,0.1605966707,0.0008485479,0.0111360569,0.0004009246
0.1,220.,0.692,0.308,0.1792366290,0.0004848845,0.0099445332,0.0002349033
0.1,220.,0.788,0.212,0.2079427073,0.0006061056,0.0154529911,0.0003948953
0.1,220.,0.884,0.116,0.2326060581,0.0003463461,0.0187952143,0.0003285727
0.1,220.,0.98,0.02,0.2584089698,0.0000346346,0.0159444347,0.0000848371
0.1,240.,0.02,0.98,0.0012480904,0.0007619614,0.0009615747,0.0005183633
0.1,240.,0.116,0.884,0.0068102322,0.0007446441,0.0022334431,0.0005320669
0.1,240.,0.212,0.788,0.0134576700,0.0007446441,0.0021253520,0.0007790862
0.1,240.,0.308,0.692,0.0187756202,0.0004848845,0.0042437709,0.0002591817
0.1,240.,0.404,0.596,0.0238222465,0.0005541537,0.0023503612,0.0003565851
0.1,240.,0.5,0.5,0.0291673291,0.0003809807,0.0045627629,0.0003393485
0.1,240.,0.596,0.404,0.0358690317,0.0003809807,0.0014621317,0.0002349033
0.1,240.,0.692,0.308,0.0426792639,0.0002251250,0.0050835430,0.0002591817
0.1,240.,0.788,0.212,0.0466677266,0.0001558557,0.0020011869,0.0001295908
0.1,240.,0.884,0.116,0.0529624432,0.0000865865,0.0077592969,0.0001095242
0.1,240.,0.98,0.02,0.0561098015,0.0000000000,0.0043635107,0.0000000000
0.1,260.,0.02,0.98,0.0003527212,0.0005195191,0.0006556841,0.0003948953
0.1,260.,0.116,0.884,0.0021434595,0.0002943942,0.0010494313,0.0001385384
0.1,260.,0.212,0.788,0.0038528007,0.0003290288,0.0017717270,0.0003357950
0.1,260.,0.308,0.692,0.0062947166,0.0002424423,0.0024364834,0.0001696742
0.1,260.,0.404,0.596,0.0073257478,0.0002770769,0.0023340172,0.0002297400
0.1,260.,0.5,0.5,0.0077598662,0.0001904903,0.0022920053,0.0002297400
0.1,260.,0.596,0.404,0.0103645765,0.0001558557,0.0017466186,0.0002297400
0.1,260.,0.692,0.308,0.0116940640,0.0000865865,0.0024292211,0.0001897016
0.1,260.,0.788,0.212,0.0126708304,0.0000865865,0.0010934054,0.0001095242
0.1,260.,0.884,0.116,0.0153298055,0.0000000000,0.0013068694,0.0000000000
0.1,260.,0.98,0.02,0.0172290735,0.0000173173,0.0025911086,0.0000692692
0.1,280.,0.02,0.98,0.0001085296,0.0001904903,0.0002658421,0.0002770769
0.1,280.,0.116,0.884,0.0007054424,0.0002078076,0.0005261167,0.0001766025
0.1,280.,0.212,0.788,0.0015194144,0.0001731730,0.0011041253,0.0002449037
0.1,280.,0.308,0.692,0.0014922820,0.0002078076,0.0004853591,0.0004039055
0.1,280.,0.404,0.596,0.0024147835,0.0001039038,0.0013113681,0.0001696742
0.1,280.,0.5,0.5,0.0029302991,0.0000692692,0.0011714160,0.0001295908
0.1,280.,0.596,0.404,0.0033372851,0.0000000000,0.0012206565,0.0000000000
0.1,280.,0.692,0.308,0.0040155951,0.0000173173,0.0008157788,0.0000692692
0.1,280.,0.788,0.212,0.0042055219,0.0000000000,0.0009240962,0.0000000000
0.1,280.,0.884,0.116,0.0058605982,0.0000173173,0.0023616100,0.0000692692
0.1,280.,0.98,0.02,0.0062133194,0.0000000000,0.0018907214,0.0000000000
0.1,300.,0.02,0.98,0.0000271324,0.0000692692,0.0001085296,0.0001295908
0.1,300.,0.116,0.884,0.0004069860,0.0001212211,0.0005944411,0.0001766025
0.1,300.,0.212,0.788,0.0004341184,0.0000346346,0.0003164154,0.0001385384
0.1,300.,0.308,0.692,0.0008411044,0.0000346346,0.0007750563,0.0001385384
0.1,300.,0.404,0.596,0.0011938256,0.0000346346,0.0005261167,0.0000848371
0.1,300.,0.5,0.5,0.0011666932,0.0000173173,0.0004408493,0.0000692692
0.1,300.,0.596,0.404,0.0016279440,0.0000865865,0.0011252588,0.0001548907
0.1,300.,0.692,0.308,0.0015194144,0.0000346346,0.0012302681,0.0000848371
0.1,300.,0.788,0.212,0.0014922820,0.0000000000,0.0011638503,0.0000000000
0.1,300.,0.884,0.116,0.0021434595,0.0000000000,0.0008982422,0.0000000000
0.1,300.,0.98,0.02,0.0027132399,0.0000000000,0.0009707182,0.0000000000
0.1,320.,0.02,0.98,0.0000000000,0.0001558557,0.0000000000,0.0001295908
0.1,320.,0.116,0.884,0.0002170592,0.0000692692,0.0003680418,0.0001295908
0.1,320.,0.212,0.788,0.0002713240,0.0000865865,0.0002426796,0.0001548907
0.1,320.,0.308,0.692,0.0002984564,0.0000519519,0.0003599520,0.0000848371
0.1,320.,0.404,0.596,0.0008682368,0.0000346346,0.0003680418,0.0000848371
0.1,320.,0.5,0.5,0.0004341184,0.0000692692,0.0002658421,0.0002019527
0.1,320.,0.596,0.404,0.0005697804,0.0000519519,0.0003987632,0.0001385384
0.1,320.,0.692,0.308,0.0006511776,0.0000000000,0.0002030403,0.0000000000
0.1,320.,0.788,0.212,0.0008682368,0.0000000000,0.0010522335,0.0000000000
0.1,320.,0.884,0.116,0.0010581636,0.0000173173,0.0014087961,0.0000692692
0.1,320.,0.98,0.02,0.0013566200,0.0000000000,0.0007075264,0.0000000000
0.1,340.,0.02,0.98,0.0000271324,0.0000519519,0.0001085296,0.0002078076
0.1,340.,0.116,0.884,0.0000813972,0.0000346346,0.0001329211,0.0000848371
0.1,340.,0.212,0.788,0.0000542648,0.0000692692,0.0001329211,0.0002019527
0.1,340.,0.308,0.692,0.0001085296,0.0000173173,0.0002030403,0.0000692692
0.1,340.,0.404,0.596,0.0003255888,0.0000346346,0.0002766973,0.0000848371
0.1,340.,0.5,0.5,0.0006240452,0.0000346346,0.0010381467,0.0000848371
0.1,340.,0.596,0.404,0.0003527212,0.0000692692,0.0005032310,0.0002019527
0.1,340.,0.692,0.308,0.0002984564,0.0000173173,0.0003987632,0.0000692692
0.1,340.,0.788,0.212,0.0006511776,0.0000173173,0.0007158019,0.0000692692
0.1,340.,0.884,0.116,0.0005155156,0.0000000000,0.0001085296,0.0000000000
0.1,340.,0.98,0.02,0.0004883832,0.0000000000,0.0003680418,0.0000000000
0.1,360.,0.02,0.98,0.0000271324,0.0000346346,0.0001085296,0.0000848371
0.1,360.,0.116,0.884,0.0000271324,0.0000346346,0.0001085296,0.0000848371
0.1,360.,0.212,0.788,0.0001356620,0.0000346346,0.0003432007,0.0000848371
0.1,360.,0.308,0.692,0.0000542648,0.0000346346,0.0002170592,0.0000848371
0.1,360.,0.404,0.596,0.0000813972,0.0000346346,0.0001329211,0.0000848371
0.1,360.,0.5,0.5,0.0001899268,0.0000346346,0.0002170592,0.0000848371
0.1,360.,0.596,0.404,0.0002441916,0.0000346346,0.0002030403,0.0001385384
0.1,360.,0.692,0.308,0.0002713240,0.0000173173,0.0002426796,0.0000692692
0.1,360.,0.788,0.212,0.0001627944,0.0000000000,0.0002658421,0.0000000000
0.1,360.,0.884,0.116,0.0002984564,0.0000000000,0.0004341184,0.0000000000
0.1,360.,0.98,0.02,0.0002984564,0.0000000000,0.0004341184,0.0000000000
0.1,380.,0.02,0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,380.,0.212,0.788,0.0000813972,0.0000173173,0.0002170592,0.0000692692
0.1,380.,0.308,0.692,0.0000271324,0.0000000000,0.0001085296,0.0000000000
0.1,380.,0.404,0.596,0.0001085296,0.0000173173,0.0002030403,0.0000692692
0.1,380.,0.5,0.5,0.0000542648,0.0000000000,0.0001329211,0.0000000000
0.1,380.,0.596,0.404,0.0001356620,0.0000173173,0.0003432007,0.0000692692
0.1,380.,0.692,0.308,0.0001899268,0.0000173173,0.0003255888,0.0000692692
0.1,380.,0.788,0.212,0.0000813972,0.0000000000,0.0002170592,0.0000000000
0.1,380.,0.884,0.116,0.0003527212,0.0000000000,0.0003255888,0.0000000000
0.1,380.,0.98,0.02,0.0001627944,0.0000000000,0.0002030403,0.0000000000
0.1,400.,0.02,0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.212,0.788,0.0000271324,0.0000000000,0.0001085296,0.0000000000
0.1,400.,0.308,0.692,0.0000542648,0.0000173173,0.0001329211,0.0000692692
0.1,400.,0.404,0.596,0.0000542648,0.0000173173,0.0001329211,0.0000692692
0.1,400.,0.5,0.5,0.0000542648,0.0000346346,0.0001329211,0.0000848371
0.1,400.,0.596,0.404,0.0000542648,0.0000346346,0.0001329211,0.0000848371
0.1,400.,0.692,0.308,0.0000542648,0.0000000000,0.0001329211,0.0000000000
0.1,400.,0.788,0.212,0.0000542648,0.0000000000,0.0001329211,0.0000000000
0.1,400.,0.884,0.116,0.0001085296,0.0000173173,0.0001085296,0.0000692692
0.1,400.,0.98,0.02,0.0000542648,0.0000000000,0.0001329211,0.0000000000
