GP-based_mean_CO2,GP-based_mean_CH4,max_GP_CO2,max_GP_CH4,r2_CO2,r2_CH4,true_rel_error_CO2,true_rel_error_Ch4,ACC_R_CO2,ACC_R_CH4,ACC_C_CO2,ACC_C_CH4
14.016721287802486,94.62038377222822,42.996690067794844,28379.331053940212,0.896,0.96,14.186,17.812,5.234,1.928,12.2,3.699 
10.957605797237337,87.3562100432721,32.93849456506272,25935.84846308919,0.876,0.936,15.458,21.125,5.706,2.007,13.066,3.857 
8.761294702062585,79.45633963634532,32.338347407522924,26331.298493423925,0.908,0.957,13.158,18.003,5.943,2.007,16.686,3.896 
8.36313699383327,75.8148937218922,30.540851120995356,23012.94091468854,0.787,0.957,14.813,18.133,6.021,2.046,18.615,3.935 
8.146435769490056,74.89289750951279,30.122784190304653,24826.627036685753,0.79,0.957,14.835,18.178,6.061,2.086,20.15,3.975 
6.694580243496495,61.728337115742946,30.00774692241191,17070.466909885658,0.906,0.937,13.444,20.499,6.926,2.165,33.215,4.093 
6.211686234733822,59.60651674739279,27.70147202184134,14679.831801003607,0.871,0.944,14.812,20.505,7.477,2.243,41.086,4.211 
5.884680595102172,97.26012733633921,28.79029190196068,55907.75522398094,0.925,0.952,12.405,20.157,7.989,2.243,48.76,4.29 
5.890748165576236,68.52548251809266,28.96505680301269,35606.95466754395,0.924,0.939,12.379,22.069,8.343,2.283,49.075,4.408 
5.460723998195088,91.48200969056418,28.322097483545484,55206.941541346,0.924,0.964,12.423,17.863,11.019,2.44,56.12,4.644 
4.7217046169375605,226.09644401365384,22.620970576405977,353141.8935203362,0.898,0.972,13.841,13.853,14.01,2.519,65.211,4.801 
3.4469985083474985,51.24527834668303,22.588868483554016,12119.242543587336,0.953,0.967,8.98,14.371,19.599,2.597,82.369,5.155 
3.005161172432723,763.3660135119009,13.5786434241508,1804922.4973388477,0.954,0.983,8.772,12.922,24.636,2.676,87.603,5.588 
2.422184431551336,38.69033621570718,13.179126538436039,8933.527229515099,0.953,0.982,8.83,12.769,38.804,2.755,95.592,5.667 
2.3208226187521435,38.42242347223148,12.76390528355093,8924.89137717903,0.941,0.982,9.479,12.81,43.093,2.794,96.065,6.179 
2.3882672355627363,38.794509462617455,13.331955163176481,12459.798843019746,0.954,0.974,8.906,13.546,39.63,2.873,95.592,6.572 
2.2856120494326775,36.36275899466211,13.183301533872976,11613.891538735876,0.931,0.974,10.123,13.73,45.691,3.03,96.183,6.808 
2.12691493180107,38.066902545973704,13.075891241641205,15604.71136797774,0.942,0.983,9.802,12.861,54.978,3.188,96.616,7.281 
1.9315338093245997,31.754698383477887,12.38229366718288,5726.294550925232,0.965,0.981,8.207,12.613,62.22,3.975,98.544,8.855 
1.8320961592012162,25.03324916104813,12.199855390525727,3380.4361740842855,0.969,0.977,8.045,12.853,68.477,4.054,98.583,9.878 
1.666026808434128,24.759555705317133,7.144976096898474,5115.452530660613,0.968,0.984,8.097,11.453,74.852,4.841,99.921,11.452 
1.5715932971490916,22.283806171427358,7.097507543757726,3354.6383522099413,0.971,0.983,7.772,11.377,79.85,4.919,99.921,12.003 
