Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error
0.1,200,0.02,0.98,0.0008183328,0.0015913248,0.0016666987,0.0012333480
0.1,200,0.2,0.8,0.0076377730,0.0016907826,0.0013363319,0.0010567310
0.1,200,0.4,0.6,0.0151846200,0.0010940358,0.0047281452,0.0012684932
0.1,200,0.6,0.4,0.0249136880,0.0007625098,0.0048250718,0.0007141289
0.1,200,0.8,0.2,0.0335516455,0.0002652208,0.0067407903,0.0003380915
0.1,200,0.98,0.02,0.0380979389,0.0000331526,0.0047211457,0.0001326104
0.1,300,0.02,0.98,0.0000000000,0.0000331526,0.0000000000,0.0001326104
0.1,300,0.2,0.8,0.0000000000,0.0000331526,0.0000000000,0.0001326104
0.1,300,0.4,0.6,0.0000909259,0.0000331526,0.0003637035,0.0001326104
0.1,300,0.6,0.4,0.0000909259,0.0000331526,0.0003637035,0.0001326104
0.1,300,0.8,0.2,0.0000909259,0.0000331526,0.0003637035,0.0001326104
0.1,300,0.98,0.02,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,400,0.02,0.98,0.0000000000,0.0000331526,0.0000000000,0.0001326104
0.1,400,0.2,0.8,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400,0.4,0.6,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400,0.6,0.4,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400,0.8,0.2,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400,0.98,0.02,0.0000000000,0.0000000000,0.0000000000,0.0000000000
10,200,0.02,0.98,0.0832880955,0.2056124239,0.0193259720,0.0111947842
10,200,0.2,0.8,0.8376091003,0.1667244244,0.0404292036,0.0145197790
10,200,0.4,0.6,1.7185898399,0.1226646192,0.0956795939,0.0064421908
10,200,0.6,0.4,2.6140277926,0.0789363401,0.1427488644,0.0072190500
10,200,0.8,0.2,3.4407257887,0.0383244054,0.1452304450,0.0040840989
10,200,0.98,0.02,4.2866091431,0.0037130912,0.1630454724,0.0018940553
10,300,0.02,0.98,0.0005455552,0.0028179710,0.0010603687,0.0007559956
10,300,0.2,0.8,0.0050009228,0.0024201398,0.0032530628,0.0018706999
10,300,0.4,0.6,0.0100018455,0.0014918670,0.0018185174,0.0010483773
10,300,0.6,0.4,0.0136388803,0.0009614254,0.0041468576,0.0003866224
10,300,0.8,0.2,0.0200946169,0.0007625098,0.0063881489,0.0009516586
10,300,0.98,0.02,0.0245499845,0.0000000000,0.0056637402,0.0000000000
