Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
0.1,200.,0.02,0.98,0.0098372535,0.0356429404,0.0022660135,0.0059373966
0.1,200.,0.116,0.884,0.0680175812,0.0354610887,0.0143975214,0.0046005255
0.1,200.,0.212,0.788,0.1246520548,0.0324605350,0.0108892048,0.0021973229
0.1,200.,0.308,0.692,0.1787569490,0.0300055366,0.0122464755,0.0077153158
0.1,200.,0.404,0.596,0.2258352335,0.0252773914,0.0142790666,0.0056812299
0.1,200.,0.5,0.5,0.2879504627,0.0207310980,0.0322875580,0.0028522330
0.1,200.,0.596,0.404,0.3426174856,0.0168212857,0.0109705158,0.0052074413
0.1,200.,0.692,0.308,0.3967926458,0.0144572131,0.0511035034,0.0050592709
0.1,200.,0.788,0.212,0.4616482527,0.0092744386,0.0368692843,0.0014773705
0.1,200.,0.884,0.116,0.5031755157,0.0048190710,0.0180975784,0.0023429957
0.1,200.,0.98,0.02,0.5611450451,0.0008183328,0.0385463179,0.0012062680
0.1,220.,0.02,0.98,0.0022485151,0.0085470316,0.0020170164,0.0042023100
0.1,220.,0.116,0.884,0.0103993823,0.0084561058,0.0045450814,0.0012333785
0.1,220.,0.212,0.788,0.0205177001,0.0081833282,0.0034594904,0.0025717719
0.1,220.,0.308,0.692,0.0309873485,0.0072740695,0.0033077350,0.0034021345
0.1,220.,0.404,0.596,0.0399814088,0.0071831436,0.0085181523,0.0047906803
0.1,220.,0.5,0.5,0.0489754691,0.0040916641,0.0075626691,0.0022272198
0.1,220.,0.596,0.404,0.0551588856,0.0041825899,0.0083258653,0.0018545311
0.1,220.,0.692,0.308,0.0635908172,0.0029096278,0.0054246154,0.0012333785
0.1,220.,0.788,0.212,0.0729362080,0.0025459243,0.0097221467,0.0023429957
0.1,220.,0.884,0.116,0.0824923971,0.0013638880,0.0121574561,0.0014086175
0.1,220.,0.98,0.02,0.0897298050,0.0003637035,0.0133290914,0.0006804269
0.1,240.,0.02,0.98,0.0004215966,0.0024549984,0.0005258233,0.0015853467
0.1,240.,0.116,0.884,0.0029511760,0.0026368502,0.0029005518,0.0020250152
0.1,240.,0.212,0.788,0.0048483606,0.0021822208,0.0030596024,0.0019416452
0.1,240.,0.308,0.692,0.0071671418,0.0020912950,0.0053807499,0.0021207375
0.1,240.,0.404,0.596,0.0094156569,0.0015457398,0.0033669120,0.0018722782
0.1,240.,0.5,0.5,0.0113831076,0.0010911104,0.0045450814,0.0013608538
0.1,240.,0.596,0.404,0.0129992278,0.0009092587,0.0037181323,0.0011501314
0.1,240.,0.692,0.308,0.0153882751,0.0008183328,0.0031860852,0.0014548139
0.1,240.,0.788,0.212,0.0170746614,0.0007274069,0.0033137002,0.0013608538
0.1,240.,0.884,0.116,0.0193934426,0.0006364811,0.0033669120,0.0013608538
0.1,240.,0.98,0.02,0.0218527560,0.0000000000,0.0042253242,0.0000000000
0.1,260.,0.02,0.98,0.0000702661,0.0011820363,0.0002810644,0.0009272656
0.1,260.,0.116,0.884,0.0007026610,0.0011820363,0.0018323156,0.0009272656
0.1,260.,0.212,0.788,0.0015458541,0.0012729622,0.0019674507,0.0013363319
0.1,260.,0.308,0.692,0.0021782490,0.0012729622,0.0023682906,0.0010603687
0.1,260.,0.404,0.596,0.0031619743,0.0010001846,0.0025528941,0.0014548139
0.1,260.,0.5,0.5,0.0040051675,0.0009092587,0.0026140499,0.0011501314
0.1,260.,0.596,0.404,0.0040754336,0.0006364811,0.0021126621,0.0007274069
0.1,260.,0.692,0.308,0.0049888928,0.0005455552,0.0022397146,0.0006804269
0.1,260.,0.788,0.212,0.0051996911,0.0002727776,0.0022397146,0.0007274069
0.1,260.,0.884,0.116,0.0061131504,0.0001818517,0.0024981549,0.0007274069
0.1,260.,0.98,0.02,0.0063942148,0.0000909259,0.0037021632,0.0003637035
0.1,280.,0.02,0.98,0.0000000000,0.0007274069,0.0000000000,0.0012333785
0.1,280.,0.116,0.884,0.0004918627,0.0005455552,0.0013769287,0.0003637035
0.1,280.,0.212,0.788,0.0006323949,0.0006364811,0.0015649003,0.0004454440
0.1,280.,0.308,0.692,0.0007729271,0.0005455552,0.0017439586,0.0003637035
0.1,280.,0.404,0.596,0.0009837253,0.0004546293,0.0022397146,0.0009960430
0.1,280.,0.5,0.5,0.0014053219,0.0003637035,0.0022220091,0.0008908879
0.1,280.,0.596,0.404,0.0016863863,0.0003637035,0.0023262217,0.0006804269
0.1,280.,0.692,0.308,0.0021782490,0.0002727776,0.0025295795,0.0007274069
0.1,280.,0.788,0.212,0.0022485151,0.0001818517,0.0025373748,0.0004454440
0.1,280.,0.884,0.116,0.0026701117,0.0000909259,0.0023766150,0.0003637035
0.1,280.,0.98,0.02,0.0028809099,0.0000000000,0.0021497292,0.0000000000
0.1,300.,0.02,0.98,0.0000000000,0.0002727776,0.0000000000,0.0007274069
0.1,300.,0.116,0.884,0.0000702661,0.0003637035,0.0002810644,0.0006804269
0.1,300.,0.212,0.788,0.0002107983,0.0003637035,0.0005621288,0.0006804269
0.1,300.,0.308,0.692,0.0004918627,0.0003637035,0.0016388729,0.0006804269
0.1,300.,0.404,0.596,0.0004918627,0.0000909259,0.0007165764,0.0003637035
0.1,300.,0.5,0.5,0.0007026610,0.0000909259,0.0006284791,0.0003637035
0.1,300.,0.596,0.404,0.0008431932,0.0001818517,0.0003442322,0.0004454440
0.1,300.,0.692,0.308,0.0008431932,0.0001818517,0.0003442322,0.0004454440
0.1,300.,0.788,0.212,0.0009134593,0.0000909259,0.0003442322,0.0003637035
0.1,300.,0.884,0.116,0.0009134593,0.0000909259,0.0003442322,0.0003637035
0.1,300.,0.98,0.02,0.0009837253,0.0000909259,0.0002810644,0.0003637035
0.1,320.,0.02,0.98,0.0000000000,0.0000909259,0.0000000000,0.0003637035
0.1,320.,0.116,0.884,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,320.,0.212,0.788,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,320.,0.308,0.692,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,320.,0.404,0.596,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,320.,0.5,0.5,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,320.,0.596,0.404,0.0001405322,0.0000909259,0.0003442322,0.0003637035
0.1,320.,0.692,0.308,0.0001405322,0.0000909259,0.0003442322,0.0003637035
0.1,320.,0.788,0.212,0.0002107983,0.0000909259,0.0005621288,0.0003637035
0.1,320.,0.884,0.116,0.0003513305,0.0000909259,0.0004444018,0.0003637035
0.1,320.,0.98,0.02,0.0004215966,0.0000909259,0.0005258233,0.0003637035
0.1,340.,0.02,0.98,0.0000000000,0.0000909259,0.0000000000,0.0003637035
0.1,340.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,340.,0.308,0.692,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,340.,0.404,0.596,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,340.,0.5,0.5,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,340.,0.596,0.404,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,340.,0.692,0.308,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,340.,0.788,0.212,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,340.,0.884,0.116,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,340.,0.98,0.02,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,360.,0.02,0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.308,0.692,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.404,0.596,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,360.,0.5,0.5,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,360.,0.596,0.404,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,360.,0.692,0.308,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,360.,0.788,0.212,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,360.,0.884,0.116,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,360.,0.98,0.02,0.0000702661,0.0000909259,0.0002810644,0.0003637035
