GP-based_mean_CO2,GP-based_mean_CH4,max_GP_CO2,max_GP_CH4,r2_CO2,r2_CH4,true_rel_error_CO2,true_rel_error_Ch4,ACC_R_CO2,ACC_R_CH4,ACC_C_CO2,ACC_C_CH4
13.47661685376147,15.85602275075682,55.0332707860051,380.6079940350071,0.904,0.936,14.646,20.31,5.824,5.431,13.144,12.003 
12.255836615798616,15.056198317168185,54.7456161067383,379.4513940352328,0.907,0.954,14.507,19.373,5.943,5.51,13.302,12.397 
11.455044284965432,13.825356545287748,54.440146161109396,379.1031659834846,0.939,0.956,13.127,19.047,6.061,5.549,13.577,12.554 
11.275992655469889,13.707602111957064,54.27346857986001,376.3229215333499,0.939,0.956,12.504,18.915,6.1,5.628,13.656,12.83 
11.148504679277572,13.599593673848688,53.97571529514843,375.1543653607698,0.939,0.956,12.501,18.664,6.179,5.667,14.01,12.869 
9.96209860761704,12.410521356204583,53.62454234871029,372.1354802869648,0.94,0.957,12.399,18.825,6.375,5.864,14.994,13.262 
9.825521409023594,12.284016318964758,53.26400544999217,369.38009585182607,0.94,0.957,12.392,18.858,6.454,5.903,15.27,13.577 
9.532871289046327,12.00965571956023,52.86687484739389,370.73598740410836,0.937,0.955,12.726,18.9,6.69,5.982,16.096,14.01 
8.943570609214508,11.08827393262518,52.43050019239093,507.35760798580645,0.933,0.96,12.912,17.186,6.966,6.021,17.473,14.168 
8.01905439669974,10.525226213906517,44.3675360888044,502.8485310324156,0.929,0.953,13.183,17.843,7.084,6.218,17.946,14.64 
7.7230102423996065,10.0348583465845,44.06420157311944,518.1160975528721,0.933,0.952,13.03,18.113,7.438,6.336,20.071,15.033 
7.319401302285221,9.74417216936176,43.65818752943447,514.9574675639041,0.933,0.954,12.91,18.091,7.635,6.69,20.937,16.529 
6.737771694604904,9.122436109389517,43.274622196015976,514.3803211570588,0.914,0.957,14.488,17.565,7.792,6.808,23.101,17.198 
6.845378919562152,9.034680676932389,44.08954123034763,510.386772933205,0.915,0.957,14.415,17.562,7.832,6.966,22.629,17.631 
6.75442137725737,8.990539119149977,43.67149901993338,507.90615598659673,0.914,0.957,14.434,17.497,8.068,7.044,23.455,18.261 
6.3227647275127135,8.622892835824869,42.68495891357029,514.4179434857663,0.938,0.945,12.915,18.25,8.54,7.399,27.548,20.15 
6.114411225031639,8.38709662625054,42.36548950474958,516.956284892425,0.941,0.945,12.524,18.137,9.445,7.871,29.949,22.039 
5.814304908365144,8.089810475145134,42.05258520193406,629.7706690409336,0.941,0.941,12.436,19.317,9.917,7.989,37.505,22.708 
5.72215103102551,7.99844068311113,41.68766535943777,627.4989108033059,0.941,0.941,12.427,19.324,10.39,8.068,40.063,23.573 
5.47028100159108,7.761310597018911,30.25823046185576,622.7550672083081,0.936,0.941,12.328,19.32,10.901,8.579,42.346,25.384 
5.371672579868062,7.644240091534413,30.161242019958678,622.1615831433135,0.941,0.945,11.656,19.149,11.137,9.13,43.88,26.722 
5.221513036961133,7.01616752333881,30.029377255906976,38.4449817541056,0.946,0.947,11.407,18.359,11.846,9.209,47.107,27.115 
4.7362256613225275,6.633413102610614,29.586247570227105,38.27057407925675,0.95,0.98,11.075,14.715,12.2,9.563,59.111,37.151 
4.380724463747015,6.04973162202453,29.508216484300643,37.927156039946894,0.973,0.981,9.206,14.071,12.83,9.76,68.398,41.047 
4.285468733516836,5.918774727470403,29.21698347946596,37.784784229966625,0.973,0.981,9.217,14.126,13.656,10.153,70.327,42.66 
4.17309147246194,5.7977969391434465,29.057921822350615,37.51417929847583,0.975,0.981,9.279,14.182,13.892,10.468,72.058,46.124 
4.020495277544645,5.613926732509703,27.166392401581156,37.18949181405733,0.974,0.981,9.334,14.136,14.601,10.783,75.482,48.682 
3.8280167718974716,5.418560966315319,26.875991680957007,36.96989627609612,0.975,0.98,9.305,14.322,15.152,11.137,81.779,54.467 
3.8583443284770387,5.3779142662837485,27.190362400088517,36.77862161094405,0.975,0.98,9.203,14.307,15.112,11.452,80.992,54.978 
3.8965293458417367,5.340709006166655,27.579672445376374,36.612168495961804,0.975,0.98,9.219,14.296,15.112,11.688,79.85,55.569 
3.7177594086055956,5.095392065124455,27.312859425225927,36.38053378841071,0.977,0.98,8.929,14.364,15.978,12.043,85.399,59.189 
3.494389978954539,4.888953841725714,26.988994511543517,36.074569699827265,0.975,0.98,9.169,14.343,16.804,12.672,89.217,64.227 
