Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error
0.1,300,0.02,0.98,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300,0.04,0.96,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300,0.06,0.94,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300,0.08,0.92,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300,0.1,0.9,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300,0.12,0.88,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300,0.14,0.86,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300,0.16,0.84,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300,0.18,0.82,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300,0.2,0.8,0.0000909259,0.0000000000,0.0003637035,0.0000000000
0.1,300,0.22,0.78,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.24,0.76,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.26,0.74,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.28,0.72,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.3,0.7,0.0003637035,0.0000000000,0.0006804269,0.0000000000
0.1,300,0.32,0.68,0.0003637035,0.0000000000,0.0006804269,0.0000000000
0.1,300,0.34,0.66,0.0003637035,0.0000000000,0.0006804269,0.0000000000
0.1,300,0.36,0.64,0.0003637035,0.0000000000,0.0006804269,0.0000000000
0.1,300,0.38,0.62,0.0003637035,0.0000000000,0.0006804269,0.0000000000
0.1,300,0.4,0.6,0.0003637035,0.0000000000,0.0006804269,0.0000000000
0.1,300,0.42,0.58,0.0003637035,0.0000000000,0.0006804269,0.0000000000
0.1,300,0.44,0.56,0.0003637035,0.0000000000,0.0006804269,0.0000000000
0.1,300,0.46,0.54,0.0004546293,0.0000000000,0.0008132657,0.0000000000
0.1,300,0.48,0.52,0.0004546293,0.0000000000,0.0008132657,0.0000000000
0.1,300,0.5,0.5,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.52,0.48,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.54,0.46,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.56,0.44,0.0004546293,0.0000331526,0.0011501314,0.0001326104
0.1,300,0.58,0.42,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.60,0.40,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.62,0.38,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.64,0.36,0.0001818517,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.66,0.34,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.68,0.32,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.7,0.3,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.72,0.28,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.74,0.26,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.76,0.24,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.78,0.22,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.8,0.2,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.82,0.18,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.84,0.16,0.0003637035,0.0000000000,0.0008908879,0.0000000000
0.1,300,0.86,0.14,0.0003637035,0.0000000000,0.0010603687,0.0000000000
0.1,300,0.88,0.12,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.9,0.1,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.92,0.08,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.94,0.06,0.0002727776,0.0000000000,0.0004454440,0.0000000000
0.1,300,0.96,0.04,0.0003637035,0.0000000000,0.0008908879,0.0000000000
0.1,300,0.98,0.02,0.0003637035,0.0000000000,0.0008908879,0.0000000000
600000.098,300,0.02,0.98,14.0873266536,52.2187925481,0.6842031376,0.7286712289
600000.098,300,0.04,0.96,27.8264981569,51.2541845045,0.5931704282,0.4907170102
600000.098,300,0.06,0.94,41.7861648912,49.5920126085,0.8958561067,0.5228616491
600000.098,300,0.08,0.92,55.4730540200,48.5313614833,1.1820362062,0.3624117264
600000.098,300,0.1,0.9,68.7779635755,47.2667224115,1.6285481087,0.6377679494
600000.098,300,0.12,0.88,83.0051342148,45.5573412134,0.8490091848,0.5212516288
600000.098,300,0.14,0.86,96.9747118688,44.2905472226,1.5083420428,0.4379959081
600000.098,300,0.16,0.84,109.2117880249,42.9799918001,2.0164309535,0.5247818170
600000.098,300,0.18,0.82,123.6792757346,41.6264374557,1.4586371236,0.3607116452
600000.098,300,0.2,0.8,135.9064409711,40.3886851423,2.9393972146,0.3746756815
600000.098,300,0.22,0.78,149.6638885739,38.9547688960,4.2083576928,0.8117987802
600000.098,300,0.24,0.76,161.8252234816,37.6305877549,3.4055816852,0.5124248658
600000.098,300,0.26,0.74,174.6033085551,36.4713407979,2.1148014263,0.3868910953
600000.098,300,0.28,0.72,189.0951643976,34.9459896813,1.8603067026,0.5459375821
600000.098,300,0.3,0.7,200.3918852220,33.8323607016,3.5284410643,0.5643786418
600000.098,300,0.32,0.68,212.6384176685,32.3715908494,3.2701632587,0.5662628874
600000.098,300,0.34,0.66,224.8386688479,31.3353068850,3.8378452773,0.1177971913
600000.098,300,0.36,0.64,237.6816749915,30.3149030159,5.6577186630,0.5249057732
600000.098,300,0.38,0.62,250.0303171883,28.8296002399,4.2564140552,0.2655526637
600000.098,300,0.4,0.6,262.2516631692,27.7582408249,5.8420753817,0.3219064928
600000.098,300,0.42,0.58,273.6911376071,26.5601058683,4.7197145025,0.6660482086
600000.098,300,0.44,0.56,287.4163065266,25.3409853160,3.9609834945,0.1087001707
600000.098,300,0.46,0.54,297.2338453228,24.2398548664,6.2405593838,0.3631549159
600000.098,300,0.48,0.52,308.2325111504,23.0977809560,5.3401550921,0.3210708641
600000.098,300,0.5,0.5,320.0834251431,21.8930817847,4.7553823988,0.5040073898
600000.098,300,0.52,0.48,330.8084041067,20.8842813255,4.7341324889,0.2980330879
600000.098,300,0.54,0.46,339.6098463227,19.8504838061,3.8610276005,0.2907931983
600000.098,300,0.56,0.44,351.4514858769,18.7795885275,1.5304561151,0.3635599650
600000.098,300,0.58,0.42,361.0524392544,17.5836747951,6.3067324019,0.2130905524
600000.098,300,0.6,0.4,369.1858491148,16.6796697039,2.1177180939,0.2208625701
600000.098,300,0.62,0.38,381.6486942023,15.6716980597,2.9767868123,0.2511517554
600000.098,300,0.64,0.36,391.8835827348,14.5266404153,4.7938587348,0.2705956544
600000.098,300,0.66,0.34,398.4245169348,13.6596999307,2.6389341606,0.0908144053
600000.098,300,0.68,0.32,411.0202047162,12.5888709573,3.7938821659,0.1001851599
600000.098,300,0.7,0.3,417.4919443304,11.6990551788,3.2187942577,0.2668415667
600000.098,300,0.72,0.28,424.5755241134,10.7962767338,4.2518157394,0.1040344006
600000.098,300,0.74,0.26,434.4330702917,9.8275909203,6.8122640445,0.1671368517
600000.098,300,0.76,0.24,442.7449676320,9.0334535448,3.9872368032,0.2244203677
600000.098,300,0.78,0.22,449.8350940776,8.1867029935,2.6356571941,0.1379704302
600000.098,300,0.8,0.2,459.4926033452,7.3338192111,5.2128375445,0.1038770786
600000.098,300,0.82,0.18,465.3458652021,6.5130934506,4.1902023333,0.1501299074
600000.098,300,0.84,0.16,473.4564526695,5.7243931015,6.4057466255,0.0659370456
600000.098,300,0.86,0.14,481.7102483797,4.9579049942,3.5865339707,0.1428190912
600000.098,300,0.88,0.12,487.1694375226,4.2002686311,3.8733296825,0.0664667874
600000.098,300,0.9,0.1,491.1802685066,3.4255255265,4.9000903096,0.0516825107
600000.098,300,0.92,0.08,499.5998220751,2.6956378894,6.8138415899,0.0830298903
600000.098,300,0.94,0.06,504.2152191586,2.0093459210,3.1992696716,0.0420164702
600000.098,300,0.96,0.04,511.4289138594,1.3213300174,7.1617527891,0.0273458913
600000.098,300,0.98,0.02,516.2619874720,0.6437903354,9.5919229593,0.0240207916
1200000.096,300,0.02,0.98,24.7780265647,84.8507307637,0.4783387243,0.7287977086
1200000.096,300,0.04,0.96,48.6229718672,81.9708970299,0.6596124738,0.6205458819
1200000.096,300,0.06,0.94,72.2030501148,79.2179714481,1.7062590005,0.5325049796
1200000.096,300,0.08,0.92,95.6479215961,76.8219667557,1.9215826195,0.5232225435
1200000.096,300,0.1,0.9,118.7304534914,74.0826005872,1.7681534625,0.7715417987
1200000.096,300,0.12,0.88,142.3311719112,70.9435135229,3.5156372178,0.9029966011
1200000.096,300,0.14,0.86,162.8775994832,68.3670260772,3.1663549332,0.6035645666
1200000.096,300,0.16,0.84,185.6604397161,65.7560930804,2.7291979823,0.9289482601
1200000.096,300,0.18,0.82,205.0991174326,63.0034990245,3.2491242969,0.5091385146
1200000.096,300,0.2,0.8,227.0956307550,60.5349895964,3.4207735468,0.5647901265
1200000.096,300,0.22,0.78,244.9012798738,57.8566242115,7.5758649538,0.4712610238
1200000.096,300,0.24,0.76,264.7612171389,55.3130241448,5.0711973493,0.4891767646
1200000.096,300,0.26,0.74,283.8231889823,52.7887851964,4.3458500057,0.9330455012
1200000.096,300,0.28,0.72,301.2823196164,50.5279768059,5.0222831273,0.4254493476
1200000.096,300,0.3,0.7,316.7954548134,47.9648167054,5.9998221674,0.5179356044
1200000.096,300,0.32,0.68,335.2544972230,45.6771215565,3.8652129766,0.5002335307
1200000.096,300,0.34,0.66,350.9014752985,43.4372987617,3.4669995445,0.3401744049
1200000.096,300,0.36,0.64,366.3119551901,41.3313130123,7.0933348424,0.4668350070
1200000.096,300,0.38,0.62,379.5305760964,39.2553635183,3.8374860680,0.4881270358
1200000.096,300,0.4,0.6,393.3649469839,37.0014177160,5.8024459166,0.7643048531
1200000.096,300,0.42,0.58,407.5458363562,35.0291032490,2.9358984720,0.4323719106
1200000.096,300,0.44,0.56,423.6183474961,32.9697300549,4.3098971609,0.1930790335
1200000.096,300,0.46,0.54,431.9276989120,31.2939987457,3.2539265722,0.2586491473
1200000.096,300,0.48,0.52,442.2380559152,29.6140239036,3.0901288982,0.3243431463
1200000.096,300,0.5,0.5,456.2619163127,27.8967855394,2.9341234787,0.5818950285
1200000.096,300,0.52,0.48,467.6430163431,26.0888085096,3.9421354373,0.4863073219
1200000.096,300,0.54,0.46,479.0039308306,24.3703103466,2.9721852224,0.2098281444
1200000.096,300,0.56,0.44,485.4123860403,22.8731720924,6.2498692246,0.4169812914
1200000.096,300,0.58,0.42,495.8333088997,21.4534451588,3.1659523045,0.1078595468
1200000.096,300,0.6,0.4,504.8642480077,20.0186337922,4.2641228201,0.2400314713
1200000.096,300,0.62,0.38,514.6093188867,18.6775448253,3.4023281278,0.2015454929
1200000.096,300,0.64,0.36,524.1334399054,17.2084868232,7.4824266596,0.3514795665
1200000.096,300,0.66,0.34,529.1709148703,16.0736070270,5.8257627872,0.2151945033
1200000.096,300,0.68,0.32,536.7588604458,14.8112554846,3.7949115097,0.1898759114
1200000.096,300,0.7,0.3,545.5545743321,13.6296636753,4.5501974715,0.3286183222
1200000.096,300,0.72,0.28,549.4955742491,12.5333403526,4.6058686349,0.2263477332
1200000.096,300,0.74,0.26,559.3312072932,11.2619381505,2.5527260076,0.1025808084
1200000.096,300,0.76,0.24,565.4493362048,10.3552145461,3.2625870565,0.3323510678
1200000.096,300,0.78,0.22,575.1686750631,9.1866517085,3.7361093307,0.1720540847
1200000.096,300,0.8,0.2,579.5331167496,8.2019200368,4.7507762547,0.0870906618
1200000.096,300,0.82,0.18,584.6282387151,7.2855821784,5.4238537453,0.2084840876
1200000.096,300,0.84,0.16,589.8167415475,6.3905614418,3.5717315633,0.1711626829
1200000.096,300,0.86,0.14,596.6030846666,5.4744556516,1.9285012395,0.0918566113
1200000.096,300,0.88,0.12,600.0922739432,4.6890042573,6.3538151795,0.0999528837
1200000.096,300,0.9,0.1,607.2014038953,3.7875850688,2.9007643966,0.0703559096
1200000.096,300,0.92,0.08,612.8443542183,2.9589358369,5.1322043840,0.1059017963
1200000.096,300,0.94,0.06,614.2388842631,2.2260976185,4.7742579850,0.0376649720
1200000.096,300,0.96,0.04,618.8466435736,1.4592448326,1.0330764295,0.0598139055
1200000.096,300,0.98,0.02,626.5847077579,0.6957073067,2.9197070825,0.0082095370
1800000.094,300,0.02,0.98,32.9182558653,107.2582082868,0.2915029456,1.1966099315
1800000.094,300,0.04,0.96,64.6234697193,103.3179554959,0.9820941062,1.1470126952
1800000.094,300,0.06,0.94,94.7935821359,98.7479359193,1.4629923750,0.5401615094
1800000.094,300,0.08,0.92,125.1283613004,94.8870172998,1.3751819769,1.0196656985
1800000.094,300,0.1,0.9,153.1157073186,90.3862866567,1.8216422253,0.4343446284
1800000.094,300,0.12,0.88,179.1367814311,86.4262417638,3.0571318497,0.2956709813
1800000.094,300,0.14,0.86,207.1789557480,82.0542095132,2.4559808980,0.6020567036
1800000.094,300,0.16,0.84,232.5705500731,78.0422476489,2.1052634326,1.1991110728
1800000.094,300,0.18,0.82,255.1692654224,74.5461733901,4.2727344574,0.5820069945
1800000.094,300,0.2,0.8,278.5466699092,70.6852879231,4.5425016738,0.7805561589
1800000.094,300,0.22,0.78,301.2889572048,67.3639941704,3.5438176189,0.8154331034
1800000.094,300,0.24,0.76,319.7501818352,63.8064549916,4.6123502260,0.3847852121
1800000.094,300,0.26,0.74,342.0408403421,60.3679004934,4.4254224920,0.6841614877
1800000.094,300,0.28,0.72,361.7945761928,56.8895297229,5.2098879086,0.6564680889
1800000.094,300,0.3,0.7,376.6765949369,54.1010645541,3.5640157164,0.5711788673
1800000.094,300,0.32,0.68,394.3012106515,50.9339303904,4.4712422675,0.5261995261
1800000.094,300,0.34,0.66,411.5568491919,47.9175079455,3.0157492878,1.0460279077
1800000.094,300,0.36,0.64,425.9297739984,45.4216807751,4.6746673085,0.7906261971
1800000.094,300,0.38,0.62,440.1599451914,42.8801361695,3.2007443861,0.5334895345
1800000.094,300,0.4,0.6,453.3517429665,40.5610455087,6.6570960244,1.3617414445
1800000.094,300,0.42,0.58,465.8303182293,38.0608090425,5.3913621775,0.6392666645
1800000.094,300,0.44,0.56,479.6993318727,35.7354525402,1.3026916395,0.3402921859
1800000.094,300,0.46,0.54,491.8367532770,33.6359315478,1.6593793527,0.2020140441
1800000.094,300,0.48,0.52,502.9766269783,31.7764353779,2.9853085217,0.4186527839
1800000.094,300,0.5,0.5,512.1216780513,29.7002538157,7.9477255345,0.4410604732
