Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
0.1,300,0.02,0.98,0.000080,0.00012,0.00023,0.000734
0.1,300,0.04,0.96,0.0000702661,0.0002727776,0.0002810644,0.0007274069
0.1,300,0.06,0.94,0.0000000000,0.0003637035,0.0000000000,0.0006804269
0.1,300,0.08,0.92,0.0002107983,0.0001818517,0.0008431932,0.0004454440
0.1,300,0.1,0.9,0.0002107983,0.0000909259,0.0008431932,0.0003637035
0.1,300,0.12,0.88,0.0002107983,0.0000909259,0.0008431932,0.0003637035
0.1,300,0.14,0.86,0.0002107983,0.0000909259,0.0008431932,0.0003637035
0.1,300,0.16,0.84,0.0002107983,0.0000909259,0.0008431932,0.0003637035
0.1,300,0.18,0.82,0.0002107983,0.0000909259,0.0008431932,0.0003637035
0.1,300,0.2,0.8,0.0002107983,0.0000909259,0.0008431932,0.0003637035
0.1,300,0.22,0.78,0.0002107983,0.0000909259,0.0008431932,0.0003637035
0.1,300,0.24,0.76,0.0002107983,0.0000909259,0.0008431932,0.0003637035
0.1,300,0.26,0.74,0.0002107983,0.0000909259,0.0008431932,0.0003637035
0.1,300,0.28,0.72,0.0000702661,0.0002727776,0.0002810644,0.0004454440
0.1,300,0.3,0.7,0.0000702661,0.0002727776,0.0002810644,0.0004454440
0.1,300,0.32,0.68,0.0000702661,0.0002727776,0.0002810644,0.0004454440
0.1,300,0.34,0.66,0.0000702661,0.0002727776,0.0002810644,0.0004454440
0.1,300,0.36,0.64,0.0000702661,0.0002727776,0.0002810644,0.0004454440
0.1,300,0.38,0.62,0.0000702661,0.0002727776,0.0002810644,0.0004454440
0.1,300,0.4,0.6,0.0000702661,0.0002727776,0.0002810644,0.0004454440
0.1,300,0.42,0.58,0.0000702661,0.0002727776,0.0002810644,0.0004454440
0.1,300,0.44,0.56,0.0000702661,0.0002727776,0.0002810644,0.0004454440
0.1,300,0.46,0.54,0.0000702661,0.0001818517,0.0002810644,0.0004454440
0.1,300,0.48,0.52,0.0000702661,0.0001818517,0.0002810644,0.0004454440
0.1,300,0.5,0.5,0.0000702661,0.0001818517,0.0002810644,0.0004454440
0.1,300,0.52,0.48,0.0000702661,0.0000909259,0.0002810644,0.0003637035
0.1,300,0.54,0.46,0.0001405322,0.0000909259,0.0003442322,0.0003637035
0.1,300,0.56,0.44,0.0001405322,0.0000909259,0.0003442322,0.0003637035
0.1,300,0.58,0.42,0.0001405322,0.0000909259,0.0003442322,0.0003637035
0.1,300,0.6,0.4,0.0001405322,0.0000909259,0.0003442322,0.0003637035
0.1,300,0.62,0.38,0.0002107983,0.0000909259,0.0003442322,0.0003637035
0.1,300,0.64,0.36,0.0002107983,0.0000909259,0.0003442322,0.0003637035
0.1,300,0.66,0.34,0.0002107983,0.0000909259,0.0003442322,0.0003637035
0.1,300,0.68,0.32,0.0002107983,0.0000909259,0.0003442322,0.0003637035
0.1,300,0.7,0.3,0.0002107983,0.0000909259,0.0003442322,0.0003637035
0.1,300,0.72,0.28,0.0002107983,0.0000000000,0.0003442322,0.0000000000
0.1,300,0.74,0.26,0.0002107983,0.0000000000,0.0003442322,0.0000000000
0.1,300,0.76,0.24,0.0002107983,0.0000000000,0.0003442322,0.0000000000
0.1,300,0.78,0.22,0.0002107983,0.0000000000,0.0003442322,0.0000000000
0.1,300,0.8,0.2,0.0002107983,0.0000000000,0.0003442322,0.0000000000
0.1,300,0.82,0.18,0.0002107983,0.0000000000,0.0003442322,0.0000000000
0.1,300,0.84,0.16,0.0004215966,0.0000000000,0.0010326965,0.0000000000
0.1,300,0.86,0.14,0.0004215966,0.0000000000,0.0010326965,0.0000000000
0.1,300,0.88,0.12,0.0004215966,0.0000000000,0.0010326965,0.0000000000
0.1,300,0.9,0.1,0.0004215966,0.0000000000,0.0010326965,0.0000000000
0.1,300,0.92,0.08,0.0004215966,0.0000000000,0.0010326965,0.0000000000
0.1,300,0.94,0.06,0.0004215966,0.0000000000,0.0010326965,0.0000000000
0.1,300,0.96,0.04,0.0004215966,0.0000000000,0.0010326965,0.0000000000
0.1,300,0.98,0.02,0.0004215966,0.0000000000,0.0010326965,0.0000000000
200000.098,300,0.02,0.98,10.0351228103,243.2682512761,0.3214504265,3.9294011288
200000.098,300,0.04,0.96,19.4465637497,234.2642262251,0.4629100134,2.7289468310
200000.098,300,0.06,0.94,28.7446654758,230.1933841679,1.2022962823,3.0413777964
200000.098,300,0.08,0.92,38.1860397723,227.3614070686,0.8690859388,3.9936468768
