Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
0.1,300,0.02,0.98,0.0000000000,0.0001818517,0.0000000000,0.0004454440
0.1,300,0.2,0.8,0.0002107983,0.0001818517,0.0005621288,0.0004454440
0.1,300,0.4,0.6,0.0001405322,0.0000909259,0.0005621288,0.0003637035
0.1,300,0.6,0.4,0.0006323949,0.0000000000,0.0008194365,0.0000000000
0.1,300,0.8,0.2,0.0006323949,0.0000000000,0.0008194365,0.0000000000
0.1,300,0.98,0.02,0.0009134593,0.0000000000,0.0011416889,0.0000000000
1,300,0.02,0.98,0.0002107983,0.0014548139,0.0003442322,0.0015643478
1,300,0.2,0.8,0.0013350558,0.0008183328,0.0015649003,0.0008908879
1,300,0.4,0.6,0.0036538370,0.0003637035,0.0008431932,0.0006804269
1,300,0.6,0.4,0.0056212877,0.0004546293,0.0016627993,0.0008132657
1,300,0.8,0.2,0.0075887384,0.0002727776,0.0023766150,0.0007274069
1,300,0.98,0.02,0.0091345925,0.0000000000,0.0029141376,0.0000000000
10,300,0.02,0.98,0.0018269185,0.0187307289,0.0011242575,0.0040418568
10,300,0.2,0.8,0.0196042409,0.0140025837,0.0039097258,0.0060148682
10,300,0.4,0.6,0.0384355547,0.0110020301,0.0038383559,0.0050592709
10,300,0.6,0.4,0.0569155380,0.0073649953,0.0081095721,0.0051563867
10,300,0.8,0.2,0.0749036587,0.0040007382,0.0064307875,0.0029547410
10,300,0.98,0.02,0.0924701827,0.0004546293,0.0052657396,0.0014086175
100,300,0.02,0.98,0.0197447731,0.2067654249,0.0054500406,0.0147669881
100,300,0.2,0.8,0.1943560224,0.1638484150,0.0182713469,0.0247518853
100,300,0.4,0.6,0.3813341047,0.1290238074,0.0215321736,0.0132564802
100,300,0.6,0.4,0.5369032419,0.0864705009,0.0435273371,0.0061507839
100,300,0.8,0.2,0.7772835574,0.0460994153,0.0607638840,0.0058814349
100,300,0.98,0.02,0.9055191831,0.0042735158,0.0490708957,0.0029096278
1000,300,0.02,0.98,0.1820594555,2.1889493575,0.0166184888,0.1069025300
1000,300,0.2,0.8,1.8316263325,1.7201355797,0.0692106425,0.0498439655
1000,300,0.4,0.6,3.4494329338,1.2479575447,0.2105852281,0.0598897160
1000,300,0.6,0.4,5.0247285470,0.8255159598,0.2671339185,0.0502398131
1000,300,0.8,0.2,6.5522432146,0.3987099332,0.1980553850,0.0301018186
1000,300,0.98,0.02,7.4962682185,0.0404620115,0.2181820109,0.0062468123
10000,300,0.02,0.98,1.4382064592,19.7041812524,0.0528158047,0.5731430168
10000,300,0.2,0.8,11.6252445697,14.1767067823,0.3146479075,0.3308652301
10000,300,0.4,0.6,19.0721157225,9.9377427943,0.7233906866,0.3130793009
10000,300,0.6,0.4,24.6359960264,6.1939610860,0.2769671687,0.2531963993
10000,300,0.8,0.2,29.5539201070,2.9499079507,0.5220849449,0.0864601265
10000,300,0.98,0.02,33.0832455923,0.2800516749,1.0296981428,0.0189771676
100000,300,0.02,0.98,5.9194267512,131.3117749856,0.1841902648,4.3327383094
100000,300,0.2,0.8,47.0600856072,101.6549390965,1.2053005812,2.2159440114
100000,300,0.4,0.6,91.1921127151,77.5884074525,1.4056617903,1.7285982833
100000,300,0.6,0.4,152.1978401904,56.7524719153,4.0255304031,0.7966452414
100000,300,0.8,0.2,252.3129742095,30.8983376972,16.0168780273,0.6681556517
100000,300,0.98,0.02,385.3243757387,3.0163747606,9.6288787473,0.1718430598
1000000,300,0.02,0.98,30.3775090218,580.2103326179,1.0793433592,2.6309940392
1000000,300,0.2,0.8,254.3362161866,365.2446673460,5.6434895969,7.1193421216
1000000,300,0.4,0.6,424.7801238712,193.1149970426,7.3885030157,7.0126153517
1000000,300,0.6,0.4,520.5713633880,94.6396446406,7.5482216189,5.8765558150
1000000,300,0.8,0.2,575.0431870998,36.8865335428,1.7081662635,1.6012549472
1000000,300,0.98,0.02,606.2051468208,3.3123384625,4.2382073347,0.2474730216
10000000,300,0.02,0.98,23.0480525160,728.9665082469,0.9020062259,2.0563500277
10000000,300,0.2,0.8,190.8121518196,534.3610543684,7.1200844876,6.7389616134
10000000,300,0.4,0.6,343.2367407028,355.9505887746,8.7613488557,9.8742944085
10000000,300,0.6,0.4,463.5592797625,210.9204643096,9.6283115029,9.5435734474
10000000,300,0.8,0.2,559.0747248512,93.7344776200,6.2407029131,3.8239368133
10000000,300,0.98,0.02,623.9299101466,9.4520168049,4.1362713748,1.4342646146
