Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
0.1,300,0.02,0.98,0.0000813972,0.0000519519,0.0002170592,0.0001385384
0.1,300,0.04,0.96,0.0000813972,0.0001385384,0.0002170592,0.0001385384
0.1,300,0.06,0.94,0.0001356620,0.0001558557,0.0002972205,0.0002545114
0.1,300,0.08,0.92,0.0001899268,0.0001558557,0.0002170592,0.0003174314
0.1,300,0.1,0.9,0.0002441916,0.0001039038,0.0002658421,0.0002545114
0.1,300,0.12,0.88,0.0003255888,0.0000865865,0.0001329211,0.0001548907
0.1,300,0.14,0.86,0.0003527212,0.0001731730,0.0004730695,0.0001897016
0.1,300,0.16,0.84,0.0002713240,0.0001904903,0.0001716004,0.0002019527
0.1,300,0.18,0.82,0.0003798536,0.0001212211,0.0003164154,0.0001766025
0.1,300,0.2,0.8,0.0003527212,0.0001212211,0.0003680418,0.0001766025
0.1,300,0.22,0.78,0.0003798536,0.0001039038,0.0002030403,0.0002019527
0.1,300,0.24,0.76,0.0005426480,0.0000173173,0.0006646053,0.0000692692
0.1,300,0.26,0.74,0.0005697804,0.0001039038,0.0006949285,0.0001295908
0.1,300,0.28,0.72,0.0006783100,0.0001212211,0.0008229664,0.0001766025
0.1,300,0.3,0.7,0.0006511776,0.0000519519,0.0002658421,0.0000848371
0.1,300,0.32,0.68,0.0007868396,0.0000519519,0.0007360835,0.0000848371
0.1,300,0.34,0.66,0.0007868396,0.0000519519,0.0005533945,0.0000848371
0.1,300,0.36,0.64,0.0010038988,0.0001039038,0.0005032310,0.0001295908
0.1,300,0.38,0.62,0.0010581636,0.0000173173,0.0008300918,0.0000692692
0.1,300,0.4,0.6,0.0007054424,0.0000173173,0.0011173806,0.0000692692
0.1,300,0.42,0.58,0.0008411044,0.0000173173,0.0007158019,0.0000692692
0.1,300,0.44,0.56,0.0015194144,0.0000173173,0.0004668034,0.0000692692
0.1,300,0.46,0.54,0.0010852960,0.0000865865,0.0010296022,0.0001548907
0.1,300,0.48,0.52,0.0016279440,0.0000519519,0.0013728029,0.0000848371
0.1,300,0.5,0.5,0.0011395608,0.0000346346,0.0006328309,0.0001385384
0.1,300,0.52,0.48,0.0015465468,0.0000519519,0.0006091209,0.0000848371
0.1,300,0.54,0.46,0.0013023552,0.0000865865,0.0005032310,0.0002682785
0.1,300,0.56,0.44,0.0014380172,0.0000173173,0.0007975264,0.0000692692
0.1,300,0.58,0.42,0.0013294876,0.0000173173,0.0007938256,0.0000692692
0.1,300,0.6,0.4,0.0014922820,0.0000519519,0.0013068694,0.0000848371
0.1,300,0.62,0.38,0.0014108848,0.0000692692,0.0005586903,0.0000692692
0.1,300,0.64,0.36,0.0014922820,0.0000865865,0.0006646053,0.0001548907
0.1,300,0.66,0.34,0.0017907383,0.0000346346,0.0011688995,0.0000848371
0.1,300,0.68,0.32,0.0013294876,0.0000346346,0.0005533945,0.0000848371
0.1,300,0.7,0.3,0.0018450031,0.0000519519,0.0013468169,0.0000848371
0.1,300,0.72,0.28,0.0017093411,0.0000173173,0.0012206565,0.0000692692
0.1,300,0.74,0.26,0.0021705919,0.0000173173,0.0006187139,0.0000692692
0.1,300,0.76,0.24,0.0019806651,0.0000173173,0.0012910005,0.0000692692
0.1,300,0.78,0.22,0.0019806651,0.0000000000,0.0005586903,0.0000000000
0.1,300,0.8,0.2,0.0021977243,0.0000519519,0.0017700642,0.0001385384
0.1,300,0.82,0.18,0.0017636059,0.0000000000,0.0011511302,0.0000000000
0.1,300,0.84,0.16,0.0016550763,0.0000346346,0.0011688995,0.0001385384
0.1,300,0.86,0.14,0.0023333863,0.0000173173,0.0016134084,0.0000692692
0.1,300,0.88,0.12,0.0023062539,0.0000173173,0.0005426480,0.0000692692
0.1,300,0.9,0.1,0.0023605187,0.0000173173,0.0015018708,0.0000692692
